courseid,capacity,course_code,credits,description,name,term,year,employeeid
1,50,101,3,Introduction to Programming,Programming Basics,1,2023,1
2,40,201,4,Database Management,Managing Database Systems,1,2023,2
3,30,301,4,Machine Learning Fundamentals,Introduction to ML,2,2023,3
4,35,102,3,Web Development Basics,Building Websites from Scratch,1,2023,4
5,45,202,4,Data Analysis Techniques,Analyzing and Interpreting Data,1,2023,5
6,25,302,5,Advanced Artificial Intelligence,Deep Learning and Neural Networks,2,2023,6
7,40,103,4,Software Engineering Principles,Designing Software Systems,1,2023,7
8,30,203,3,Network Security Fundamentals,Securing Computer Networks,2,2023,8
9,35,303,3,Computer Graphics Introduction,Creating Visual Content,1,2023,9
10,30,104,3,Project Management Basics,Managing and Leading Projects,2,2023,10
11,55,105,4,Data Structures and Algorithms,Algorithmic Design,1,2023,1
12,45,205,5,Database Administration,Advanced Database Management,2,2023,2
13,35,305,4,Computer Vision,Understanding Image Processing,1,2023,3
14,40,106,3,Human-Computer Interaction,Interactive Design Principles,2,2023,4
15,35,206,3,Statistical Analysis Techniques,Advanced Data Analysis,1,2023,5
16,30,306,5,Robotics Fundamentals,Introduction to Robotics,2,2023,6
17,40,107,4,Software Testing Principles,Quality Assurance Basics,1,2023,7
18,30,207,3,Information Security Essentials,Securing Information Systems,2,2023,8
19,30,307,5,Game Development Basics,Introduction to Game Programming,1,2023,9
20,35,108,3,Software Development Life Cycle,Understanding SDLC,2,2023,10
